data,Subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,data_sub
samm,6,006_1_2,0,3562,3588,3632,samm/006/006_1_2/006_1_03562.jpg,samm/006/006_1_2/006_1_03588.jpg,samm/006/006_1_2/006_1_03632.jpg,samm_006
samm,6,006_1_3,0,1912,1948,1988,samm/006/006_1_3/006_1_01912.jpg,samm/006/006_1_3/006_1_01948.jpg,samm/006/006_1_3/006_1_01988.jpg,samm_006
samm,6,006_1_4,0,324,368,403,samm/006/006_1_4/006_1_00324.jpg,samm/006/006_1_4/006_1_00368.jpg,samm/006/006_1_4/006_1_00403.jpg,samm_006
samm,6,006_1_5,0,3343,3388,3424,samm/006/006_1_5/006_1_03343.jpg,samm/006/006_1_5/006_1_03388.jpg,samm/006/006_1_5/006_1_03424.jpg,samm_006
samm,6,006_1_6,0,5160,5197,5259,samm/006/006_1_6/006_1_05160.jpg,samm/006/006_1_6/006_1_05197.jpg,samm/006/006_1_6/006_1_05259.jpg,samm_006
samm,6,006_2_4,0,80,117,174,samm/006/006_2_4/006_2_00080.jpg,samm/006/006_2_4/006_2_00117.jpg,samm/006/006_2_4/006_2_00174.jpg,samm_006
samm,6,006_3_4,0,139,168,202,samm/006/006_3_4/006_3_00139.jpg,samm/006/006_3_4/006_3_00168.jpg,samm/006/006_3_4/006_3_00202.jpg,samm_006
samm,6,006_3_5,2,1287,1329,1356,samm/006/006_3_5/006_3_01287.jpg,samm/006/006_3_5/006_3_01329.jpg,samm/006/006_3_5/006_3_01356.jpg,samm_006
samm,6,006_5_10,0,1136,1165,1214,samm/006/006_5_10/006_5_01136.jpg,samm/006/006_5_10/006_5_01165.jpg,samm/006/006_5_10/006_5_01214.jpg,samm_006
samm,6,006_5_11,0,1830,1890,1926,samm/006/006_5_11/006_5_01830.jpg,samm/006/006_5_11/006_5_01890.jpg,samm/006/006_5_11/006_5_01926.jpg,samm_006
samm,6,006_5_9,2,4958,4982,5051,samm/006/006_5_9/006_5_04958.jpg,samm/006/006_5_9/006_5_04982.jpg,samm/006/006_5_9/006_5_05051.jpg,samm_006
samm,7,007_3_1,0,246,262,291,samm/007/007_3_1/007_3_00246.jpg,samm/007/007_3_1/007_3_00262.jpg,samm/007/007_3_1/007_3_00291.jpg,samm_007
samm,7,007_5_3,2,259,297,335,samm/007/007_5_3/007_5_00259.jpg,samm/007/007_5_3/007_5_00297.jpg,samm/007/007_5_3/007_5_00335.jpg,samm_007
samm,7,007_6_1,1,397,411,441,samm/007/007_6_1/007_6_00397.jpg,samm/007/007_6_1/007_6_00411.jpg,samm/007/007_6_1/007_6_00441.jpg,samm_007
samm,7,007_6_2,1,1196,1226,1277,samm/007/007_6_2/007_6_01196.jpg,samm/007/007_6_2/007_6_01226.jpg,samm/007/007_6_2/007_6_01277.jpg,samm_007
samm,7,007_6_3,1,2460,2492,2517,samm/007/007_6_3/007_6_02460.jpg,samm/007/007_6_3/007_6_02492.jpg,samm/007/007_6_3/007_6_02517.jpg,samm_007
samm,7,007_6_5,1,549,573,623,samm/007/007_6_5/007_6_00549.jpg,samm/007/007_6_5/007_6_00573.jpg,samm/007/007_6_5/007_6_00623.jpg,samm_007
samm,7,007_7_1,2,6730,6756,6770,samm/007/007_7_1/007_7_06730.jpg,samm/007/007_7_1/007_7_06756.jpg,samm/007/007_7_1/007_7_06770.jpg,samm_007
samm,7,007_7_5,1,254,285,337,samm/007/007_7_5/007_7_00254.jpg,samm/007/007_7_5/007_7_00285.jpg,samm/007/007_7_5/007_7_00337.jpg,samm_007
samm,9,009_2_1,0,577,602,641,samm/009/009_2_1/009_2_00577.jpg,samm/009/009_2_1/009_2_00602.jpg,samm/009/009_2_1/009_2_00641.jpg,samm_009
samm,9,009_3_2,0,1356,1391,1432,samm/009/009_3_2/009_3_01356.jpg,samm/009/009_3_2/009_3_01391.jpg,samm/009/009_3_2/009_3_01432.jpg,samm_009
samm,9,009_3_3,0,1468,1510,1545,samm/009/009_3_3/009_3_01468.jpg,samm/009/009_3_3/009_3_01510.jpg,samm/009/009_3_3/009_3_01545.jpg,samm_009
samm,9,009_3_4,2,2834,2870,2919,samm/009/009_3_4/009_3_02834.jpg,samm/009/009_3_4/009_3_02870.jpg,samm/009/009_3_4/009_3_02919.jpg,samm_009
samm,10,010_2_1,0,192,206,228,samm/010/010_2_1/010_2_00192.jpg,samm/010/010_2_1/010_2_00206.jpg,samm/010/010_2_1/010_2_00228.jpg,samm_010
samm,10,010_2_8,0,1211,1239,1288,samm/010/010_2_8/010_2_01211.jpg,samm/010/010_2_8/010_2_01239.jpg,samm/010/010_2_8/010_2_01288.jpg,samm_010
samm,10,010_4_1,0,528,548,557,samm/010/010_4_1/010_4_00528.jpg,samm/010/010_4_1/010_4_00548.jpg,samm/010/010_4_1/010_4_00557.jpg,samm_010
samm,10,010_4_2,0,3708,3730,3738,samm/010/010_4_2/010_4_03708.jpg,samm/010/010_4_2/010_4_03730.jpg,samm/010/010_4_2/010_4_03738.jpg,samm_010
samm,11,011_1_4,0,3080,3131,3168,samm/011/011_1_4/011_1_03080.jpg,samm/011/011_1_4/011_1_03131.jpg,samm/011/011_1_4/011_1_03168.jpg,samm_011
samm,11,011_2_1,0,2029,2050,2068,samm/011/011_2_1/011_2_02029.jpg,samm/011/011_2_1/011_2_02050.jpg,samm/011/011_2_1/011_2_02068.jpg,samm_011
samm,11,011_2_2,0,2069,2114,2125,samm/011/011_2_2/011_2_02069.jpg,samm/011/011_2_2/011_2_02114.jpg,samm/011/011_2_2/011_2_02125.jpg,samm_011
samm,11,011_2_3,0,3885,3921,3974,samm/011/011_2_3/011_2_03885.jpg,samm/011/011_2_3/011_2_03921.jpg,samm/011/011_2_3/011_2_03974.jpg,samm_011
samm,11,011_2_7,1,3361,3402,3449,samm/011/011_2_7/011_2_03361.jpg,samm/011/011_2_7/011_2_03402.jpg,samm/011/011_2_7/011_2_03449.jpg,samm_011
samm,11,011_3_1,0,363,395,411,samm/011/011_3_1/011_3_00363.jpg,samm/011/011_3_1/011_3_00395.jpg,samm/011/011_3_1/011_3_00411.jpg,samm_011
samm,11,011_3_4,1,841,891,920,samm/011/011_3_4/011_3_00841.jpg,samm/011/011_3_4/011_3_00891.jpg,samm/011/011_3_4/011_3_00920.jpg,samm_011
samm,11,011_3_5,1,944,1007,1031,samm/011/011_3_5/011_3_00944.jpg,samm/011/011_3_5/011_3_01007.jpg,samm/011/011_3_5/011_3_01031.jpg,samm_011
samm,11,011_3_6,1,1208,1253,1308,samm/011/011_3_6/011_3_01208.jpg,samm/011/011_3_6/011_3_01253.jpg,samm/011/011_3_6/011_3_01308.jpg,samm_011
samm,11,011_4_1,0,6750,6771,6803,samm/011/011_4_1/011_4_06750.jpg,samm/011/011_4_1/011_4_06771.jpg,samm/011/011_4_1/011_4_06803.jpg,samm_011
samm,11,011_4_12,0,4158,4194,4254,samm/011/011_4_12/011_4_04158.jpg,samm/011/011_4_12/011_4_04194.jpg,samm/011/011_4_12/011_4_04254.jpg,samm_011
samm,11,011_4_13,0,2755,2791,2853,samm/011/011_4_13/011_4_02755.jpg,samm/011/011_4_13/011_4_02791.jpg,samm/011/011_4_13/011_4_02853.jpg,samm_011
samm,11,011_4_2,0,2980,3014,3037,samm/011/011_4_2/011_4_02980.jpg,samm/011/011_4_2/011_4_03014.jpg,samm/011/011_4_2/011_4_03037.jpg,samm_011
samm,11,011_5_1,0,1048,1071,1088,samm/011/011_5_1/011_5_01048.jpg,samm/011/011_5_1/011_5_01071.jpg,samm/011/011_5_1/011_5_01088.jpg,samm_011
samm,11,011_6_1,0,4422,4463,4486,samm/011/011_6_1/011_6_04422.jpg,samm/011/011_6_1/011_6_04463.jpg,samm/011/011_6_1/011_6_04486.jpg,samm_011
samm,11,011_6_13,1,4523,4585,4619,samm/011/011_6_13/011_6_04523.jpg,samm/011/011_6_13/011_6_04585.jpg,samm/011/011_6_13/011_6_04619.jpg,samm_011
samm,11,011_6_5,1,2504,2571,2602,samm/011/011_6_5/011_6_02504.jpg,samm/011/011_6_5/011_6_02571.jpg,samm/011/011_6_5/011_6_02602.jpg,samm_011
samm,11,011_6_6,1,2607,2649,2680,samm/011/011_6_6/011_6_02607.jpg,samm/011/011_6_6/011_6_02649.jpg,samm/011/011_6_6/011_6_02680.jpg,samm_011
samm,11,011_7_1,0,1220,1236,1269,samm/011/011_7_1/011_7_01220.jpg,samm/011/011_7_1/011_7_01236.jpg,samm/011/011_7_1/011_7_01269.jpg,samm_011
samm,11,011_7_10,0,3599,3630,3680,samm/011/011_7_10/011_7_03599.jpg,samm/011/011_7_10/011_7_03630.jpg,samm/011/011_7_10/011_7_03680.jpg,samm_011
samm,12,012_3_1,0,4621,4651,4676,samm/012/012_3_1/012_3_04621.jpg,samm/012/012_3_1/012_3_04651.jpg,samm/012/012_3_1/012_3_04676.jpg,samm_012
samm,12,012_3_2,0,4697,4735,4796,samm/012/012_3_2/012_3_04697.jpg,samm/012/012_3_2/012_3_04735.jpg,samm/012/012_3_2/012_3_04796.jpg,samm_012
samm,12,012_7_1,2,871,889,923,samm/012/012_7_1/012_7_00871.jpg,samm/012/012_7_1/012_7_00889.jpg,samm/012/012_7_1/012_7_00923.jpg,samm_012
samm,13,013_1_10,0,3802,3824,3890,samm/013/013_1_10/013_1_03802.jpg,samm/013/013_1_10/013_1_03824.jpg,samm/013/013_1_10/013_1_03890.jpg,samm_013
samm,13,013_1_11,0,4490,4544,4582,samm/013/013_1_11/013_1_04490.jpg,samm/013/013_1_11/013_1_04544.jpg,samm/013/013_1_11/013_1_04582.jpg,samm_013
samm,13,013_1_12,0,706,739,802,samm/013/013_1_12/013_1_00706.jpg,samm/013/013_1_12/013_1_00739.jpg,samm/013/013_1_12/013_1_00802.jpg,samm_013
samm,13,013_1_8,0,841,867,919,samm/013/013_1_8/013_1_00841.jpg,samm/013/013_1_8/013_1_00867.jpg,samm/013/013_1_8/013_1_00919.jpg,samm_013
samm,13,013_1_9,0,5658,5680,5739,samm/013/013_1_9/013_1_05658.jpg,samm/013/013_1_9/013_1_05680.jpg,samm/013/013_1_9/013_1_05739.jpg,samm_013
samm,13,013_7_7,0,2077,2135,2167,samm/013/013_7_7/013_7_02077.jpg,samm/013/013_7_7/013_7_02135.jpg,samm/013/013_7_7/013_7_02167.jpg,samm_013
samm,14,014_1_1,0,2357,2382,2398,samm/014/014_1_1/014_1_02357.jpg,samm/014/014_1_1/014_1_02382.jpg,samm/014/014_1_1/014_1_02398.jpg,samm_014
samm,14,014_2_3,2,4616,4645,4705,samm/014/014_2_3/014_2_04616.jpg,samm/014/014_2_3/014_2_04645.jpg,samm/014/014_2_3/014_2_04705.jpg,samm_014
samm,14,014_2_4,1,3874,3925,3968,samm/014/014_2_4/014_2_03874.jpg,samm/014/014_2_4/014_2_03925.jpg,samm/014/014_2_4/014_2_03968.jpg,samm_014
samm,14,014_3_3,1,1635,1646,1714,samm/014/014_3_3/014_3_01635.jpg,samm/014/014_3_3/014_3_01646.jpg,samm/014/014_3_3/014_3_01714.jpg,samm_014
samm,14,014_3_4,1,426,457,523,samm/014/014_3_4/014_3_00426.jpg,samm/014/014_3_4/014_3_00457.jpg,samm/014/014_3_4/014_3_00523.jpg,samm_014
